compound name,smiles,[-CH3],[-CH2-],[>CH-],[>C<],(-CH2-)R,(>CH-)R,(>C<)R,[=CH2],[=CH-],[=C<],(=CH-)R,(=C<)R,aCHa,saCa,aaCa,[-OH](alcohol),[-OH](phenol),[-O-],(-O-)R,[>C=O],(>C=O)R,[-CHO],[-COO-],[-COOH],FP,MW
2hexene,CC=CCCC,35.7143,33.3333,0,0,0,0,0,0,30.9524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,84
(Z)-stilbene,C(=C\c1ccccc1)\c1ccccc1,0,0,0,0,0,0,0,0,14.4444,0,0,0,72.2222,13.3333,0,0,0,0,0,0,0,0,0,0,401.65,180
1-cyclohexylpropan-2-ylcyclohexane,CC(CC1CCCCC1)C1CCCCC1,7.2115,6.7308,6.25,0,67.3077,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388.75,208
2dodecene,CC=CCCCCCCCCC,17.8571,66.6667,0,0,0,0,0,0,15.4762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351.15,168
3-methylundecane,CCCCCCCCC(C)CC,26.4706,65.8824,7.6471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.95,170
"1,2,4-trimethylcyclohexane",CC1CCC(C)C(C)C1,35.7143,0,0,0,33.3333,30.9524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.05,126
1-ethenyl-4-propan-2-ylbenzene,C=Cc1ccc(C(C)C)cc1,20.5479,0,8.9041,0,0,0,0,9.589,8.9041,0,0,0,35.6164,16.4384,0,0,0,0,0,0,0,0,0,0,343.25,146
1-methyl-3-prop-1-en-2-ylbenzene,C=C(C)c1cccc(C)c1,22.7273,0,0,0,0,0,0,10.6061,0,9.0909,0,0,39.3939,18.1818,0,0,0,0,0,0,0,0,0,0,331.35,132
3-ethylheptane,CCCCC(CC)CC,35.1562,54.6875,10.1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.25,128
"1,2,4-trimethyl-5-propan-2-ylbenzene",Cc1cc(C)c(C(C)C)cc1C,46.2963,0,8.0247,0,0,0,0,0,0,0,0,0,16.0494,29.6296,0,0,0,0,0,0,0,0,0,0,355.55,162
3-methylbutan-2-ylbenzene,CC(C)C(C)c1ccccc1,30.4054,0,17.5676,0,0,0,0,0,0,0,0,0,43.9189,8.1081,0,0,0,0,0,0,0,0,0,0,330.05,148
1-ethyl-2-methylcyclohexane,CCC1CCCCC1C,23.8095,11.1111,0,0,44.4444,20.6349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.05,126
"1H-Indene, octahydro-",C1CCC2CCCC2C1,0,0,0,0,79.0323,20.9677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.45,124
1-methyl-3-phenylbenzene,Cc1cccc(-c2ccccc2)c1,8.9286,0,0,0,0,0,0,0,0,0,0,0,69.6429,21.4286,0,0,0,0,0,0,0,0,0,0,386.95,168
decylcyclopentane,CCCCCCCCCCC1CCCC1,7.1429,60,0,0,26.6667,6.1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388.55,210
"2,4-dimethyl-1-propan-2-ylbenzene",Cc1ccc(C(C)C)c(C)c1,40.5405,0,8.7838,0,0,0,0,0,0,0,0,0,26.3514,24.3243,0,0,0,0,0,0,0,0,0,0,340.25,148
dodecylcyclohexane,CCCCCCCCCCCCC1CCCCC1,5.9524,61.1111,0,0,27.7778,5.1587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.25,252
heptylcyclohexane,CCCCCCCC1CCCCC1,8.2418,46.1538,0,0,38.4615,7.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.35,182
3methyl4ethylhexane,CCC(C)C(CC)CC,46.875,32.8125,20.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,128
"1,6-Octadiene, 3,7-dimethyl-",C=CC(C)CCC=C(C)C,32.6087,20.2899,9.4203,0,0,0,0,10.1449,18.8406,8.6957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.45,138
"2,4hexadiene-",CC=CC=CC,36.5854,0,0,0,0,0,0,0,63.4146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.15,82
nonylcyclohexane,CCCCCCCCCC1CCCCC1,7.1429,53.3333,0,0,33.3333,6.1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.95,210
dodecylcyclopentane,CCCCCCCCCCCCC1CCCC1,6.3025,64.7059,0,0,23.5294,5.4622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.95,238
"6-methyl-1,2,3,4-tetrahydronaphthalene",Cc1ccc2c(c1)CCCC2,10.274,0,0,0,38.3562,0,0,0,0,0,0,0,26.7123,24.6575,0,0,0,0,0,0,0,0,0,0,365.45,146
"5-methyl-1,2,3,4-tetrahydronaphthalene",Cc1cccc2c1CCCC2,10.274,0,0,0,38.3562,0,0,0,0,0,0,0,26.7123,24.6575,0,0,0,0,0,0,0,0,0,0,367.35,146
"1,3butadiene",C=CC=C,0,0,0,0,0,0,0,51.8519,48.1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,54
octadecylcyclohexane,CCCCCCCCCCCCCCCCCCC1CCCCC1,4.4643,70.8333,0,0,20.8333,3.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.35,336
"Methane, di-p-tolyl-",Cc1ccc(Cc2ccc(C)cc2)cc1,15.3061,7.1429,0,0,0,0,0,0,0,0,0,0,53.0612,24.4898,0,0,0,0,0,0,0,0,0,0,408.35,196
"9,10-dihydroanthracene",c1ccc2c(c1)Cc1ccccc1C2,0,0,0,0,15.5556,0,0,0,0,0,0,0,57.7778,26.6667,0,0,0,0,0,0,0,0,0,0,404.95,180
Isobutylcyclohexane,CC(C)CC1CCCCC1,21.4286,10,9.2857,0,50,9.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321.45,140
"(2E,6E)-octa-2,6-diene",C/C=C/CC/C=C/C,27.2727,25.4545,0,0,0,0,0,0,47.2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.85,110
"2,4-dimethylpentan-3-ylbenzene",CC(C)C(c1ccccc1)C(C)C,34.0909,0,22.1591,0,0,0,0,0,0,0,0,0,36.9318,6.8182,0,0,0,0,0,0,0,0,0,0,353.65,176
"1,2-dimethylcyclohexane",CC1CCCCC1C,26.7857,0,0,0,50,23.2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.75,112
7-methyl-1H-indene,Cc1cccc2c1CC=C2,11.5385,0,0,0,10.7692,0,0,0,0,0,20,0,30,27.6923,0,0,0,0,0,0,0,0,0,0,348.05,130
"1,2-diphenylethenylbenzene",C(=C(c1ccccc1)c1ccccc1)c1ccccc1,0,0,0,0,0,0,0,0,5.0781,4.6875,0,0,76.1719,14.0625,0,0,0,0,0,0,0,0,0,0,438.15,256
5-methylhept-1-ene,C=CCCC(C)CC,26.7857,37.5,11.6071,0,0,0,0,12.5,11.6071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.65,112
"Benzene, 1,3-bis(1-methylethenyl)-",C=C(C)c1cccc(C(=C)C)c1,18.9873,0,0,0,0,0,0,17.7215,0,15.1899,0,0,32.9114,15.1899,0,0,0,0,0,0,0,0,0,0,364.25,158
"Phenetole, p-methyl- (8CI)",CCOc1ccc(C)cc1,22.0588,10.2941,0,0,0,0,0,0,0,0,0,0,38.2353,17.6471,0,0,0,11.7647,0,0,0,0,0,0,343.15,136
"3,3-dimethyl-1,2-dihydroindene",CC1(C)CCc2ccccc21,20.5479,0,0,0,19.1781,0,8.2192,0,0,0,0,0,35.6164,16.4384,0,0,0,0,0,0,0,0,0,0,336.75,146
ethyl (E)-hex-2-enoate,CCC/C=C/C(=O)OCC,21.1268,29.5775,0,0,0,0,0,0,18.3099,0,0,0,0,0,0,0,0,0,0,0,0,0,30.9859,0,335.45,142
"1-methyl-1,2,3,4-tetrahydronaphthalene",CC1CCCc2ccccc21,10.274,0,0,0,28.7671,8.9041,0,0,0,0,0,0,35.6164,16.4384,0,0,0,0,0,0,0,0,0,0,352.25,146
Chrysene,c1ccc2c(c1)ccc1c3ccccc3ccc21,0,0,0,0,0,0,0,0,0,0,0,0,68.4211,0,31.5789,0,0,0,0,0,0,0,0,0,482.25,228
(E)-dec-5-ene,CCCC/C=C/CCCC,21.4286,60,0,0,0,0,0,0,18.5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319.25,140
1-benzyl-4-methylbenzene,Cc1ccc(Cc2ccccc2)cc1,8.2418,7.6923,0,0,0,0,0,0,0,0,0,0,64.2857,19.7802,0,0,0,0,0,0,0,0,0,0,393.75,182
(E)-oct-2-ene,C/C=C/CCCCC,26.7857,50,0,0,0,0,0,0,23.2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.75,112
"Phenanthrene, 9-methyl-",Cc1cc2ccccc2c2ccccc12,7.8125,0,0,0,0,0,0,0,0,0,0,0,60.9375,6.25,25,0,0,0,0,0,0,0,0,0,430.65,192
(Z)-undec-2-ene,C/C=C\CCCCCCCC,19.4805,63.6364,0,0,0,0,0,0,16.8831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.35,154
"Benzo(a)pyrene, 12-methyl-",Cc1cc2c3ccccc3cc3ccc4cccc1c4c32,5.6391,0,0,0,0,0,0,0,0,0,0,0,53.7594,4.5113,36.0902,0,0,0,0,0,0,0,0,0,509.85,266
1-tert-butyl-3-methylbenzene,Cc1cccc(C(C)(C)C)c1,40.5405,0,0,8.1081,0,0,0,0,0,0,0,0,35.1351,16.2162,0,0,0,0,0,0,0,0,0,0,333.65,148
"Bicyclo(3.1.1)heptane, 6,6-dimethyl-2-methylene-, (1S,5S)-",C=C1CC[C@H]2C[C@@H]1C2(C)C,22.0588,0,0,0,30.8824,19.1176,8.8235,10.2941,0,0,0,8.8235,0,0,0,0,0,0,0,0,0,0,0,0,308.05,136
2-butylnaphthalene,CCCCc1ccc2ccccc2c1,8.1522,22.8261,0,0,0,0,0,0,0,0,0,0,49.4565,6.5217,13.0435,0,0,0,0,0,0,0,0,0,405.25,184
